folder,vol_error_af,vol_error_pct,start_time,end_time,max_wse,max_depth,max_face_velocity,max_velocity,max_volume,max_flow_balance,max_wind_EventCond,max_prcp_EventCond,max_bc_flow_EventCond,max_bc_stage_EventCond,max_IC_elevation,unique_manning,unique_cell_infiltration_initial_deficit,unique_cell_infiltration_maximum_deficit,unique_cell_infiltration_pot_percolation_rate,unique_cell_impervious_pct_imper
SS0292_PP180_SM5_BF1_Base,95214.15625,0.027125060558319092,06Jan2050 00:00:00,12Jan2050 06:00:00,491.2488708496094,108.48772430419922,162.997314453125,3.9731291222573013,704752960.0,496216.84375,58.503273010253906,19.46808624267578,206400.0,6.489999771118164,57.0,643642,579501,746355,1,454155
SS0298_PP421_SM5_BF1_Base,98546.5859375,0.023985840380191803,06Jan2050 00:00:00,12Jan2050 00:00:00,491.2488708496094,112.50421905517578,156.5099639892578,3.0551367545127985,713233728.0,523623.28125,95.20146942138672,9.7456636428833,179600.0,12.90999984741211,57.0,643642,579501,746355,1,454155
SS0306_PP096_SM1_BF1_Base,112423.09375,0.039145518094301224,06Jan2050 00:00:00,13Jan2050 12:00:00,491.2488708496094,108.2489013671875,151.28855895996094,45.552629318240655,680223040.0,267885.03125,77.04161071777344,4.949258804321289,159600.0,5.820000171661377,57.0,643510,683772,745585,1,453683
SS0298_PP448_SM3_BF1_Base,95831.3125,0.023087358102202415,06Jan2050 00:00:00,12Jan2050 00:00:00,491.2488708496094,112.44623565673828,175.9137420654297,3.4963991141319344,731143232.0,505913.5,95.20146942138672,43.12117004394531,174000.0,12.90999984741211,57.0,643855,646987,746734,1,454483
SS0298_PP262_SM4_BF1_Base,95676.1328125,0.023136083036661148,06Jan2050 00:00:00,12Jan2050 00:00:00,491.2488708496094,113.1488037109375,159.76284790039062,2.7394165897370106,718576896.0,548694.6875,95.20146942138672,19.740816116333008,154000.0,13.359999656677246,57.0,643591,625186,746124,1,454423
SS0298_PP253_SM4_BF1_Base,98684.5390625,0.02352978102862835,06Jan2050 00:00:00,12Jan2050 00:00:00,491.2488708496094,112.86644744873047,154.32785034179688,4.251686077117972,1647476608.0,529538.5,95.20146942138672,37.731361389160156,344000.0,13.050000190734863,57.0,643591,625186,746124,1,454423
SS0305_PP041_SM3_BF1_Base,97261.984375,0.020855609327554703,06Jan2050 00:00:00,12Jan2050 06:00:00,491.2488708496094,109.07752227783203,163.46484375,2.3352736425400047,725179328.0,401173.75,73.5808334350586,33.584617614746094,153200.0,7.340000152587891,57.0,643855,646987,746734,1,454483
SS0313_PP338_SM4_BF1_Base,90615.8671875,0.036731868982315063,06Jan2050 00:00:00,12Jan2050 00:00:00,491.2488708496094,107.04490661621094,160.04754638671875,2.742120580673225,675209536.0,233055.578125,80.89366149902344,10.962166786193848,93600.0,4.329999923706055,57.0,643591,625186,746124,1,454423
SS0313_PP299_SM4_BF1_Base,90259.7578125,0.036656271666288376,06Jan2050 00:00:00,12Jan2050 00:00:00,491.2488708496094,107.09814453125,160.09100341796875,2.8303266453743268,679339840.0,231323.5,80.89366149902344,9.047492980957031,138800.0,4.369999885559082,57.0,643591,625186,746124,1,454423
SS0310_PP174_SM3_BF1_Base,82991.2734375,0.024598121643066406,06Jan2050 00:00:00,10Jan2050 12:00:00,491.2488708496094,107.94084167480469,173.7967987060547,3.0467113447189376,713381440.0,595892.9375,155.67703247070312,25.60671043395996,297200.0,9.630000114440918,57.0,643855,646987,746734,1,454483
SS0315_PP177_SM3_BF1_Base,87898.375,0.03320654481649399,06Jan2050 00:00:00,11Jan2050 18:00:00,491.2488708496094,106.9037857055664,161.4591064453125,7.634352788927512,682450240.0,374633.46875,221.77548217773438,15.119403839111328,79600.0,4.829999923706055,57.0,643855,646987,746734,1,454483
SS0341_PP303_SM5_BF1_Base,179160.828125,0.02233472466468811,06Jan2050 00:00:00,15Jan2050 00:00:00,491.2488708496094,110.88739776611328,2157.27392578125,22.793309326171947,739149760.0,650678.5625,86.4800796508789,37.8181266784668,152400.0,9.470000267028809,57.0,643642,579501,746355,1,454155
SS0319_PP397_SM4_BF1_Base,110499.296875,0.023505715653300285,06Jan2050 00:00:00,13Jan2050 12:00:00,491.2488708496094,109.12670135498047,175.86929321289062,2.871625683307648,717261696.0,363087.15625,62.84440231323242,33.75889205932617,236800.0,5.639999866485596,57.0,643591,625186,746124,1,454423
SS0319_PP303_SM4_BF1_Base,111738.7109375,0.023671798408031464,06Jan2050 00:00:00,13Jan2050 12:00:00,491.2488708496094,109.00960540771484,157.59776306152344,2.703774898052225,710031872.0,342819.09375,62.84440231323242,23.004894256591797,278000.0,5.809999942779541,57.0,643591,625186,746124,1,454423
SS0320_PP275_SM3_BF1_Base,111921.90625,0.037015605717897415,06Jan2050 00:00:00,13Jan2050 12:00:00,491.2488708496094,107.58927917480469,159.30491638183594,3.2861479687690776,677132032.0,232124.3125,68.08887481689453,11.616177558898926,344400.0,3.4600000381469727,57.0,643855,646987,746734,1,454483
SS0316_PP114_SM4_BF1_Base,121124.4140625,0.022721221670508385,06Jan2050 00:00:00,13Jan2050 18:00:00,491.2488708496094,108.39605712890625,169.1163330078125,2.679509613513948,713828864.0,445265.75,130.9326629638672,45.38508987426758,218000.0,6.039999961853027,57.0,643591,625186,746124,1,454423
SS0320_PP478_SM5_BF1_Base,112180.1015625,0.03722226619720459,06Jan2050 00:00:00,13Jan2050 12:00:00,491.2488708496094,107.84990692138672,162.08180236816406,2.1558741259575283,676507264.0,223755.734375,68.08887481689453,11.712371826171875,164400.0,3.640000104904175,57.0,643642,579501,746355,1,454155
SS0332_PP436_SM5_BF1_Base,121328.5,0.03158995881676674,06Jan2050 00:00:00,12Jan2050 06:00:00,491.2488708496094,109.0587158203125,159.52857971191406,2.5221302890777624,686451584.0,336168.9375,127.58104705810547,20.625078201293945,138000.0,9.119999885559082,57.0,643642,579501,746355,1,454155
SS0305_PP465_SM5_BF1_Base,98282.1171875,0.020922847092151642,06Jan2050 00:00:00,12Jan2050 06:00:00,491.2488708496094,108.70325469970703,163.47349548339844,2.8935198068619052,725077312.0,398493.84375,73.5808334350586,11.992944717407227,259200.0,7.909999847412109,57.0,643642,579501,746355,1,454155
SS0334_PP284_SM4_BF1_Base,126707.8125,0.030114075168967247,06Jan2050 00:00:00,13Jan2050 18:00:00,491.2488708496094,108.70128631591797,161.26463317871094,68.54617843628897,683551232.0,236457.109375,72.3472671508789,12.17131519317627,346000.0,5.619999885559082,57.0,643591,625186,746124,1,454423
SS0341_PP043_SM4_BF1_Base,196158.46875,0.024500060826539993,06Jan2050 00:00:00,15Jan2050 00:00:00,491.2488708496094,110.5032958984375,158.64739990234375,8.838654527665401,770260416.0,643344.5625,86.4800796508789,31.555213928222656,104400.0,9.109999656677246,57.0,643591,625186,746124,1,454423
SS0319_PP347_SM1_BF1_Base,112245.7890625,0.024090657010674477,06Jan2050 00:00:00,13Jan2050 12:00:00,491.2488708496094,108.11421203613281,163.12022399902344,2.3056151914596605,705772480.0,360594.3125,62.84440231323242,20.73125648498535,80400.0,5.440000057220459,57.0,643510,683772,745585,1,453683
SS0320_PP193_SM4_BF1_Base,111836.421875,0.037317145615816116,06Jan2050 00:00:00,13Jan2050 12:00:00,491.2488708496094,108.00833129882812,162.20697021484375,2.664544167518623,677895552.0,235833.265625,68.08887481689453,12.825313568115234,170000.0,4.210000038146973,57.0,643591,625186,746124,1,454423
SS0320_PP324_SM5_BF1_Base,112254.9765625,0.03691912442445755,06Jan2050 00:00:00,13Jan2050 12:00:00,491.2488708496094,108.07319641113281,158.87246704101562,2.120233259201052,674303104.0,179016.234375,68.08887481689453,7.088682174682617,172000.0,4.050000190734863,57.0,643642,579501,746355,1,454155
SS0319_PP256_SM4_BF1_Base,112912.75,0.02413855493068695,06Jan2050 00:00:00,13Jan2050 12:00:00,491.2488708496094,108.4055404663086,169.4798583984375,2.958074743747713,705272512.0,338642.28125,62.84440231323242,14.966617584228516,269200.0,5.440000057220459,57.0,643591,625186,746124,1,454423
SS0347_PP111_SM1_BF1_Base,285696.15625,0.035114824771881104,06Jan2050 00:00:00,13Jan2050 12:00:00,491.2488708496094,115.17120361328125,367.7340087890625,2.978516914844585,779073472.0,782367.375,126.91950225830078,26.02261734008789,114800.0,16.479999542236328,57.0,643510,683772,745585,1,453683
SS0342_PP168_SM1_BF1_Base,128057.2109375,0.03637969493865967,06Jan2050 00:00:00,13Jan2050 18:00:00,491.2488708496094,107.15762329101562,161.5830535888672,5.206496186256671,682958848.0,245571.140625,84.24561309814453,14.069650650024414,181200.0,5.829999923706055,57.0,643510,683772,745585,1,453683
SS0347_PP282_SM1_BF1_Base,291608.28125,0.035555191338062286,06Jan2050 00:00:00,13Jan2050 12:00:00,491.2488708496094,114.53340148925781,162.5732879638672,4.116153378486677,1040380800.0,780046.0625,126.91950225830078,51.81540298461914,213200.0,16.389999389648438,57.0,643510,683772,745585,1,453683
SS0349_PP117_SM5_BF1_Base,171103.125,0.03649049624800682,06Jan2050 00:00:00,12Jan2050 00:00:00,491.2488708496094,112.24382019042969,167.0343475341797,2.9964103531837547,719266880.0,541919.875,103.80217742919922,14.62893295288086,164800.0,13.630000114440918,57.0,643642,579501,746355,1,454155
