Directory,Status,Duration,SUs,Failure Reason,Vol Error (AF),Vol Error (%),Max WSEL Err,Start Time,End Time,Failure Info,Max WSE (ft),Max Depth (ft),Max Velocity (ft/s),Max Volume (ft^3),Max Flow Balance (ft^3/s),Max Stage BC (ft),Max Inflow BC (cfs),Max Cum PRCP (inc),Max Cum PRCP (in)
SS0242_PP004_SM3_BF1_Base,SUCCESS,18.90111111111111,190,,233026.,0.02816,17.68,Jun 04 03:41,Jun 04 22:35,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0242_PP214_SM1_BF1_Base,SUCCESS,12.395833333333332,130,,221166.,0.02662,21.46,Jun 04 05:52,Jun 04 18:16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0242_PP217_SM5_BF1_Base,SUCCESS,11.81388888888889,120,,240279.,0.02855,22.20,Jun 04 05:14,Jun 04 17:03,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0242_PP221_SM5_BF1_Base,SUCCESS,9.480833333333333,100,,239581.,0.02853,22.47,Jun 04 03:44,Jun 04 13:13,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0242_PP225_SM1_BF1_Base,SUCCESS,12.141388888888889,130,,231685.,0.02782,22.24,Jun 04 04:38,Jun 04 16:47,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0242_PP281_SM4_BF1_Base,SUCCESS,11.256666666666666,120,,224858.,0.02709,22.26,Jun 04 05:56,Jun 04 17:11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0242_PP293_SM1_BF1_Base,SUCCESS,11.934166666666666,120,,239185.,0.02885,18.20,Jun 04 04:57,Jun 04 16:53,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0242_PP301_SM5_BF1_Base,SUCCESS,10.119166666666667,110,,224308.,0.02674,17.51,Jun 04 10:17,Jun 04 20:24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0242_PP331_SM1_BF1_Base,SUCCESS,12.186388888888889,130,,237221.,0.02875,17.51,Jun 04 05:35,Jun 04 17:47,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0242_PP387_SM4_BF1_Base,SUCCESS,14.631666666666668,150,,233113.,0.02821,17.51,Jun 04 05:00,Jun 04 19:38,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0242_PP434_SM1_BF1_Base,SUCCESS,12.220555555555556,130,,232431.,0.02772,17.51,Jun 04 03:41,Jun 04 15:55,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0243_PP293_SM2_BF1_Base,SUCCESS,12.207777777777777,130,,147459.,0.03242,17.51,Jun 04 04:00,Jun 04 16:13,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0243_PP318_SM1_BF1_Base,SUCCESS,12.285277777777777,130,,146073.,0.03191,17.51,Jun 04 04:15,Jun 04 16:32,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
